path,url,title,date,type_guess,weight_28d,clicks_28d,impressions_28d,avg_pos_28d,ctr_28d,clicks_7d,impressions_7d,avg_pos_7d,ctr_7d
/tc/insights/Frieren,https://refresh.bokss.org.hk/tc/insights/Frieren,人際關係 個人成長 《葬送的芙莉蓮》教曉我們感受人生 生命無常給我們的3個領悟,2024-04-19,標準熱話科普,8.777,7,594,8.81,0.011785,1,52,6.23,0.019231
/tc/insights/psychology-number-anxiety-hk-refresh,https://refresh.bokss.org.hk/tc/insights/psychology-number-anxiety-hk-refresh,為何你對某些數字特別有感覺？心理學拆解隱藏的數字焦慮感,2026-06-03,標準熱話科普,8.7,7,350,6.19,0.02,1,75,6.79,0.013333
/tc/insights/boundary-people-pleaser-set-psychological-limits,https://refresh.bokss.org.hk/tc/insights/boundary-people-pleaser-set-psychological-limits,個人成長 個人成長︱人善被人欺？設定心理界線 拒做「濫好人」！ 討好型人格的自救指南,2025-07-15,標準熱話科普,8.691,7,362,9.16,0.019337,1,69,9.83,0.014493
/tc/insights/AnimalGrief,https://refresh.bokss.org.hk/tc/insights/AnimalGrief,個人成長︱學習與毛孩告別 走出傷痛7件事,2025-03-05,標準熱話科普,8.674,7,425,24.18,0.016471,1,43,23.95,0.023256
/tc/insights/the-masterful-cat-is-depressed,https://refresh.bokss.org.hk/tc/insights/the-masterful-cat-is-depressed,行動雖小但愛意強大！ 話題動畫《能幹貓今天也憂鬱》教你3件暖心日常事,2023-08-18,標準熱話科普,8.487,6,1108,9.21,0.005415,1,250,8.14,0.004
/tc/insights/angry-notebook,https://refresh.bokss.org.hk/tc/insights/angry-notebook,情緒管理｜和平又有效的洩憤新招 小氣簿實體化 日本研究證明有助息怒,2024-08-30,標準熱話科普,8.355,6,1032,6.94,0.005814,0,169,7.47,0.0
/tc/insights/hong-kong-another-world-mental-health-letting-go-healing,https://refresh.bokss.org.hk/tc/insights/hong-kong-another-world-mental-health-letting-go-healing,個人成長 從《世外》看生死與療癒：為何我們總是放不下？尤其放不過自己？,2025-12-19,標準熱話科普,8.079,5,86,9.45,0.05814,2,17,9.65,0.117647
/tc/insights/hong-kong-workload-overwhelm-communicate-boss-refresh-eap,https://refresh.bokss.org.hk/tc/insights/hong-kong-workload-overwhelm-communicate-boss-refresh-eap,【有片】壓力爆煲點向上司開口？專家教你聰明求救3步曲,2026-02-11,標準熱話科普,7.917,6,197,8.89,0.030457,0,32,9.16,0.0
/tc/insights/distance_between_two_generations,https://refresh.bokss.org.hk/tc/insights/distance_between_two_generations,個人成長 個人成長︱父母都會焦慮 3大關鍵策略處理情緒,2025-04-09,標準熱話科普,7.636,0,3818,6.29,0.0,0,196,9.42,0.0
/tc/insights/US-ufo-uap-belief-psychology-wahfuestate-refresh,https://refresh.bokss.org.hk/tc/insights/US-ufo-uap-belief-psychology-wahfuestate-refresh,信不信由你？從美國 UAP 解密到華富邨UFO的人類心理,2026-05-11,標準熱話科普,7.634,6,538,8.17,0.011152,0,158,8.39,0.0
/tc/insights/say-no,https://refresh.bokss.org.hk/tc/insights/say-no,人際關係 工作與財務管理 如何高明拒絕？5個步驟讓對方更能接受,2023-09-18,標準熱話科普,7.628,5,1211,8.77,0.004129,0,293,9.38,0.0
/tc/insights/relationshi-emotional-value-love-languages-gen-z-hk,https://refresh.bokss.org.hk/tc/insights/relationshi-emotional-value-love-languages-gen-z-hk,人際關係 【情人節】「情緒價值」真的決定一切？教你愛得夠Firm、自在又長久？,2026-02-14,標準熱話科普,7.626,3,2280,6.36,0.001316,0,127,13.8,0.0
/tc/insights/healing_playlist,https://refresh.bokss.org.hk/tc/insights/healing_playlist,個人成長 2022年度治癒歌單推介,2022-12-28,標準熱話科普,7.58,6,472,9.88,0.012712,0,75,9.75,0.0
/tc/insights/hong-kong-tai-po-wang-fuk-fire-disaster-comfort-bible-quotes,https://refresh.bokss.org.hk/tc/insights/hong-kong-tai-po-wang-fuk-fire-disaster-comfort-bible-quotes,災難過後｜無力、悲傷、恐懼、憤怒都沒關係 願這些金句帶給你安慰,2025-12-04,標準熱話科普,7.553,6,415,7.44,0.014458,1,80,6.92,0.0125
/tc/insights/financial-anxiety,https://refresh.bokss.org.hk/tc/insights/financial-anxiety,休息與睡眠 工作與財務管理 為錢擔憂到無心睡眠？ 你不得不知的「財務焦慮」,2023-03-22,標準熱話科普,7.552,6,410,8.69,0.014634,0,70,8.5,0.0
